Accuracy,Precision,Recall,F1-Score,AUC-ROC,Model,Dataset,Run
0.8145695364238411,0.635528547201809,0.6911881977671451,0.6532152230971129,0.691188197767145,BERT + LSTM,pytorch,6
0.6225165562913907,0.5957671957671957,0.7165071770334928,0.5459724639974679,0.7165071770334928,Naïve Bayes + TF-IDF,pytorch,7
0.8211920529801324,0.6502754820936639,0.7175039872408293,0.6711301121239008,0.7175039872408293,BERT + LSTM,pytorch,7
0.6622516556291391,0.5984958318231244,0.7167065390749601,0.5698005698005697,0.7167065390749601,Naïve Bayes + TF-IDF,pytorch,8
0.8609271523178808,0.7077526132404182,0.7852870813397129,0.7354192740926158,0.7852870813397128,BERT + LSTM,pytorch,8
0.6158940397350994,0.6134210526315789,0.7577751196172249,0.5520662847790507,0.7577751196172247,Naïve Bayes + TF-IDF,pytorch,9
0.8344370860927153,0.6481299212598426,0.6800239234449761,0.6610397773188471,0.680023923444976,BERT + LSTM,pytorch,9
0.7218543046357616,0.6471075902726603,0.8183811802232854,0.6370192307692308,0.8183811802232854,Naïve Bayes + TF-IDF,pytorch,10
0.6490066225165563,0.5941989942528736,0.7091307814992025,0.5597183253562193,0.7091307814992025,BERT + LSTM,pytorch,10
0.6225165562913907,0.625,0.7840909090909092,0.5623188405797102,0.7840909090909091,Naïve Bayes + TF-IDF,pytorch,11
0.8344370860927153,0.6291984732824427,0.6349681020733652,0.6319586623769133,0.6349681020733652,BERT + LSTM,pytorch,11
0.6622516556291391,0.6263288447909284,0.7842902711323764,0.5882919005613473,0.7842902711323764,Naïve Bayes + TF-IDF,pytorch,12
0.8609271523178808,0.7077526132404182,0.7852870813397129,0.7354192740926158,0.7852870813397128,BERT + LSTM,pytorch,12
0.6026490066225165,0.5903582718651212,0.7051435406698565,0.531055900621118,0.7051435406698563,Naïve Bayes + TF-IDF,pytorch,13
0.7880794701986755,0.6133795582948125,0.67603668261563,0.6283076923076923,0.6760366826156299,BERT + LSTM,pytorch,13
0.6357615894039735,0.6090828924162257,0.7466108452950558,0.561903254734399,0.7466108452950558,Naïve Bayes + TF-IDF,pytorch,14
0.7947019867549668,0.6445039590125757,0.747408293460925,0.6648048693161475,0.747408293460925,BERT + LSTM,pytorch,14
0.6357615894039735,0.6186708860759493,0.7691387559808612,0.5674704442476954,0.7691387559808611,Naïve Bayes + TF-IDF,pytorch,15
0.8609271523178808,0.71267217630854,0.8078149920255183,0.7442123094297006,0.8078149920255184,BERT + LSTM,pytorch,15
0.6357615894039735,0.6090828924162257,0.7466108452950558,0.561903254734399,0.7466108452950558,Naïve Bayes + TF-IDF,pytorch,16
0.7218543046357616,0.6032412965186075,0.7057416267942584,0.6014328808446455,0.7057416267942583,BERT + LSTM,pytorch,16
0.5761589403973509,0.603968253968254,0.7350478468899522,0.5215841584158416,0.7350478468899521,Naïve Bayes + TF-IDF,pytorch,17
0.7483443708609272,0.6071274763135228,0.6983652312599681,0.6143817204301075,0.6983652312599681,BERT + LSTM,pytorch,17
0.7019867549668874,0.6395433127944907,0.8070175438596491,0.620412267471091,0.8070175438596492,Naïve Bayes + TF-IDF,pytorch,18
0.8079470198675497,0.6544685990338164,0.7549840510366826,0.6776591829223408,0.7549840510366825,BERT + LSTM,pytorch,18
0.7218543046357616,0.6557377049180328,0.8409090909090908,0.6429054054054054,0.8409090909090909,Naïve Bayes + TF-IDF,pytorch,19
0.8675496688741722,0.6417808219178083,0.5412679425837321,0.5473621103117506,0.541267942583732,BERT + LSTM,pytorch,19
0.6225165562913907,0.6151281151281152,0.7615629984051037,0.5571847507331379,0.7615629984051036,Naïve Bayes + TF-IDF,pytorch,20
0.8145695364238411,0.635528547201809,0.6911881977671451,0.6532152230971129,0.691188197767145,BERT + LSTM,pytorch,20
0.6688741721854304,0.6007285974499089,0.720494417862839,0.5748873873873874,0.720494417862839,Naïve Bayes + TF-IDF,pytorch,21
0.7483443708609272,0.6161425576519917,0.7208931419457736,0.6232930672268908,0.7208931419457735,BERT + LSTM,pytorch,21
0.6158940397350994,0.6233766233766234,0.7803030303030303,0.5571399676375404,0.7803030303030303,Naïve Bayes + TF-IDF,pytorch,22
0.7880794701986755,0.6314604077761973,0.7210925039872408,0.6492450638792102,0.7210925039872408,BERT + LSTM,pytorch,22
0.5629139072847682,0.611764705882353,0.75,0.516025641025641,0.75,Naïve Bayes + TF-IDF,pytorch,23
0.7615894039735099,0.6053113553113554,0.6834130781499203,0.6158846806105144,0.6834130781499203,BERT + LSTM,pytorch,23
0.6556291390728477,0.6056350626118068,0.7354465709728868,0.571210135430319,0.7354465709728868,Naïve Bayes + TF-IDF,pytorch,24
0.847682119205298,0.6657857646229739,0.6875996810207337,0.6754508924399588,0.6875996810207335,BERT + LSTM,pytorch,24
0.7019867549668874,0.6218020022246942,0.7619617224880382,0.6077922077922078,0.7619617224880384,Naïve Bayes + TF-IDF,pytorch,25
0.5695364238410596,0.5621270621270621,0.6411483253588517,0.49503524206410454,0.6411483253588517,BERT + LSTM,pytorch,25
